Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Pasco, Washington",Varney Air Lines,Boeing 40,1,0,1,1,0,1,0,1931,11,4482
"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,6,5,1,2,2,0,0,1931,12,4481
"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,7,3,4,5,2,3,0,1931,12,4480
Off Algiers,Aeropostale,CAMS 56,2,0,2,2,0,2,0,1931,12,4479
"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,5,4,1,4,4,0,0,1931,12,4478
"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1,0,1,1,0,1,0,1932,1,4477
"Lebec, California",Century Pacific Lines,Stinson SM-6000B,8,7,1,8,7,1,0,1932,1,4476
"Off Miami, Florida",Bimini Airways,Fairchild,5,4,1,5,4,1,0,1932,2,4475
"Rio Vista, California",Boeing Air Transport,Boeing 40,2,0,2,1,0,1,0,1932,2,4474
"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1,0,1,1,0,1,0,1932,2,4473
"Off Setiba, Brazil",Aeropostale,Latecoere 28,3,0,3,3,0,3,0,1932,2,4472
"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,5,0,5,3,0,3,0,1932,3,4471
"Calimesa, California",American Airways,Fokker F-10A,7,5,2,7,5,2,0,1932,3,4470
"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha 3,1,0,1,1,0,1,0,1932,3,4469
"Rutbah Wells, Iraq",Air Orient,Farman F-190,3,1,2,3,1,2,0,1932,3,4468
"Bedford, Ohio",National Air Transport,Boeing 95,1,0,1,1,0,1,0,1932,3,4467
"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1,0,1,1,0,1,0,1932,4,4466
"Burbank, California",Pacific Air Transport,Boeing 40,3,2,1,3,2,1,0,1932,5,4465
