Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Portland, Oregon",Varney Air Lines,Boeing 40,2,0,2,1,0,1,0,1932,5,4464
"Mount El Plomo, near Vitacura, Chile",Panagra,Ford 5-AT-C Tri Motor,9,6,3,9,6,3,0,1932,7,4463
"Beyrouth, Lebanon",Air Orient,CAMS 53,7,3,4,0,0,0,0,1932,8,4462
"Tubergen, Germany",A B Aerotransport,Junkers G-23,2,0,2,2,0,2,0,1932,8,4461
"Salt Flats, Texas",American Airways,Fokker F-10,4,2,2,3,1,2,0,1932,9,4460
"Selsdon Park, England",Air Union,Liore-et-Olivier 213,2,0,2,1,0,1,0,1932,9,4459
"Byron Bay, Australia",New England Airways,De Havilland DH-80,3,2,1,3,2,1,0,1932,9,4458
"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1,0,1,1,0,1,0,1932,10,4457
"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2,0,2,2,0,2,0,1932,10,4456
"Ramsgate, England",Deutsche Lufthansa,Junkers W-33,2,0,2,2,0,2,0,1932,10,4455
"Echterpfuhl, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2,5,3,2,0,1932,11,4454
"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2,1,1,2,1,1,0,1932,11,4453
"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2,0,2,2,0,2,0,1932,12,4452
"Rocky Ridge, Colorado",Boeing Air Transport,Boeing 40,1,0,1,1,0,1,0,1932,12,4451
"Wau, Australia",Guinea Airways,De Havilland DH-60,1,0,1,1,0,1,0,1932,12,4450
Algiers,Aeropostale,CAMS 53,3,0,3,1,0,1,0,1933,1,4449
"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2,0,2,2,0,2,0,1933,1,4448
"Marietta, Georgia",American Airways,Stearman 4,1,0,1,1,0,1,0,1933,1,4447
"Bourne, Texas",American Airways,Stearman 4,1,0,1,1,0,1,0,1933,1,4446
"Eugene, Oregon",Pacific Air Transport,Ford 5-AT-D,3,1,2,2,0,2,0,1933,1,4445
"Near Mendoza, Argentina",Pan American Grace Airways,Fairchild FC-2W,2,0,2,2,0,2,0,1933,3,4444
"Hayward, California",Varney Airlines,Lockheed Orion 9,3,2,1,3,2,1,11,1933,3,4443
"Near Dixmude, Belgium",Imperial Airways,Armstrong Whitworth Argosy II,15,12,3,15,12,3,0,1933,3,4442
"Hemkenrode, Germany",Deutsche Lufthansa,Junkers F-13,2,1,1,1,1,0,0,1933,4,4441
"Near Castrovillari, Calabria, Italy",Air Orient,Cams 53-1,8,5,3,5,2,3,0,1933,4,4440
"Traunstein, Germany",Eurasia,Junkers W-34,4,2,2,4,2,2,0,1933,4,4439
"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Latecoere 28-1,6,3,3,6,3,3,0,1933,5,4438
"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1,0,1,1,0,1,0,1933,6,4437
"Glenview, Illinois",Palwaukee,Sikorsky S-38B (flying boat),9,7,2,9,7,2,0,1933,6,4436
Aegean Sea,Societa Anonima Aero Expresso Italiana,CMASA Wal (flying boat),6,2,4,6,2,4,0,1933,7,4435
"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5,3,2,5,3,2,0,1933,8,4434
"Near Ljubljana, Yugoslavia",Aeroput,Farman F-306,8,6,2,8,6,2,0,1933,9,4433
"Chesterton, Indiana",United Air Lines,Boeing 247,10,7,3,10,7,3,0,1933,10,4432
"Etobon, France",Air France,Farman F-301,5,2,3,2,1,1,0,1933,10,4431
"Moriarty, New Mexico",Trans Continental and Western Air,Northrop Delta,1,0,1,0,0,0,0,1933,11,4430
"Near Kharkov, Ukraine, USSR",Kalinin,Kalinin K-7,20,0,20,14,0,14,0,1933,11,4429
"Wedron, Illinois",National Air Transport,Boeing 247,2,0,2,2,0,2,0,1933,11,4428
"Hamburg, Germany",Deutsche Lufthansa,Focke-Wulf A-17,10,8,2,6,4,2,0,1933,12,4427
"Eshowe, South Africa",Union Airways,Junkers W-34,6,4,2,5,3,2,0,1933,12,4426
"Near Ruysselede, Belgium",Imperial Airways,Avro 10,10,8,2,10,8,2,0,1933,12,4425
"Corbigny, France",Air France,Dewoitine D-332,14,10,4,14,10,4,0,1934,1,4424
"Near Salt Lake City, Utah",Boeing Aircraft Company,Boeing 247,8,5,3,8,5,3,0,1934,2,4423
"Pereira, Colombia",Pan American Airways (Scadta),Sikorsky S-38 Flying Boat,6,4,2,5,3,2,0,1934,3,4422
"Near Lima, Peru",Pan American Grace Airlines,Ford 5-AT-C Tri-Motor,15,12,3,3,0,3,0,1934,3,4421
"Ningpo Bay, China",China National Aviation Corporation,Sikorsky S-38BB,3,1,2,3,1,2,0,1934,4,4420
English Channel,Air France,Wibault 282T,6,3,3,6,3,3,0,1934,5,4419
"Croydon, England",Air France,Liore-et-Olivier 213,2,0,2,2,0,2,0,1934,5,4418
"Mongaup Mountain, New York",American Airways,Curtiss Condor T-32,7,4,3,7,4,3,0,1934,6,4417
"Junin, Argentina",Panagra,Ford 5-AT-C Tri-Motor,10,7,3,6,3,3,0,1934,6,4416
"Chausseehausen, Germany",Deutsche Lufthansa,Dornier Merkur,7,5,2,1,0,1,0,1934,6,4415
"Burbank, California",Aerevias Centrales Air Service,Lockheed Orion,1,0,1,1,0,1,0,1934,6,4414
"San Bernardino, California",United Air Services,Lockheed Vega,4,3,1,3,2,1,0,1934,7,4413
"Near Tuttlingen, Germany",Swissair,Curtiss AT-32C Condor,12,9,3,12,9,3,0,1934,7,4412
"Bahia, Brazil",Air France,Latecoere 26,2,0,2,2,0,2,0,1934,8,4411
"Amazonia, Missouri",Rapid Air Transport,Stinson  SM-6000B,5,4,1,5,4,1,0,1934,8,4410
English Channel,Hillman's Airways,de havilland 89 Dragon Rapide,7,6,1,7,6,1,0,1934,10,4409
"Near Winton, Australia",Qantas,de Havilland DH-50A,3,2,1,3,2,1,0,1934,10,4408
"Bass Strait, Australia",Holymans Airways,de Havilland DH-86,11,9,2,11,9,2,0,1934,10,4407
"Kiapit, Australia",Holdens Air Transport Service,De Havilland DH-61,4,2,2,2,2,0,0,1934,11,4406
"Amazonia, Montana",Rapid Air Transport,Stinson SM-6000-B,2,0,2,2,0,2,0,1934,11,4405
"Near Longreach, Australia",Qantas,de Havilland DH-86,4,3,1,4,3,1,0,1934,11,4404
"Salchau, Germany",Deutsche Lufthansa,Junkers F-13,3,0,3,3,0,3,0,1934,12,4403
"Columbia, Missouri",Braniff Airlines,Lockheed Vega 5C,1,0,1,1,0,1,0,1934,12,4402
"Palma Soriano, Cuba",Cubana de Aviacion,Ford 4-AT-E Tri-motor,8,5,3,4,2,2,0,1934,12,4401
"Rutbah Wells, Syria",KLM Royal Dutch Airlines,Douglas DC-2-115A,7,3,4,7,3,4,0,1934,12,4400
"Sunbright, Tennessee",American Airlines,Lockheed Orion 9D,1,0,1,1,0,1,0,1934,12,4399
"Near Karachi, Pakistan",Indian Air Force,Wapiti,2,0,2,0,0,2,15,1935,1,4398
"Pittsburgh, Pennsylvania",Trans Continental and Western Air,Consolidated Fleetster,1,0,1,1,0,1,0,1935,1,4397
"Stettin, Germany",Deruluft,Junkers JU-52/3m,11,8,3,11,8,3,0,1935,1,4396
"Off Point Sur, Californiia",Military - US Navy,Goodyear-Zeppelin U.S.S. Macon (airship),83,0,83,2,0,2,0,1935,2,4395
"Schievelbein, Germany",Deruluft,Rochrbach Roland,3,0,3,0,0,0,0,1935,3,4394
"El Arish, Egypt",Misrair,de Havilland Dragon 1,6,5,1,3,2,1,0,1935,3,4393
"Off Samland, Germany",Deutsche Lufthansa,Junkers F-13,5,0,5,5,0,5,0,1935,3,4392
"Beauvais, France",Air France,Farman F-300,3,0,3,1,0,1,0,1935,4,4391
"Brilon, Germany",KLM Royal Dutch Airlines,Fokker F-12,7,2,5,7,2,5,0,1935,4,4390
"Near Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,1,0,1,1,0,1,0,1935,5,4389
"Atlanta, Missouri",Trans Continental and Western Air,Douglas DC-2-112,14,12,2,5,3,2,0,1935,5,4388
"Near Moscow, Russia",Gor'ky Eskadril'ya,Tupolev ANT-20 / I-5,50,37,13,50,37,13,2,1935,5,4387
"Flint, Michigan",Knowles Flying Service of Detroit,Ford model 4-AT-E,12,11,1,3,2,1,0,1935,5,4386
"Glendo, Wyoming",Wyoming Air Service,Boeing 221,1,0,1,1,0,1,0,1935,5,4385
"Maywood, Illinois",Chicago and Southern Airlines,Stinson SM6000B Tri-motor,2,1,1,2,1,1,0,1935,5,4384
"Medellin, Colombia",Servicio Aereo Columbiano / SCADTA,Ford Tri-Motor / Ford Tri-Motor,20,18,2,17,15,2,0,1935,6,4383
"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Fokker F-XXII,20,15,5,6,2,4,0,1935,7,4382
"Off Chandeleur Island, Mississippi",Wedell-Williams Air Service Corporation,General 102-E,2,1,1,2,1,1,0,1935,7,4381
"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,Douglas DC-2,13,9,4,13,9,4,0,1935,7,4380
"Cardiff, United Kingdom",Jersey Airways,de Havilland DH-84 Dragon,8,7,1,1,3,0,0,1935,7,4379
"El Retiro, Colombia",Fuerza Aerea Colombiana,Junkers W-34,5,3,2,5,3,2,0,1935,7,4378
"Cairo, Egypt",Ala Littoria,Savoia-Marchetti S-66,7,3,4,7,3,4,0,1935,8,4377
"Near Gilmer, Texas",Delta Air Lines,Stinson Model A,4,3,1,4,3,1,0,1935,8,4376
"Walakpa, near Point Barrow, Alaska",Private,Lockheed Orion 9E Explorer float plane,2,1,1,2,1,1,0,1935,8,4375
"Near Glendo, Wyoming",Aero Mayflower Transit Co,"Waco, model YLC",3,2,1,3,2,1,0,1935,8,4374
"Burbank, California",Western Air Express,Boeing 247,3,0,3,3,0,3,0,1935,9,4373
"Near Tambo, Panama",Panama Airways,Ford Tri-Motor,8,7,1,8,7,1,0,1935,9,4372
"Off Finders Island, Victoria, Australia",Holyman Airways,de Havilland DH-86,5,3,2,5,3,2,0,1935,10,4371
"Near Cheyenne, Wyoming",United Air Lines,Boeing 247D,12,9,3,12,9,3,0,1935,10,4370
Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,0,1935,10,4369
"Troy, New York",Chamberlin Flying Service,Curtiss AT-32C Condor,6,4,2,1,0,1,0,1935,10,4368
"Cheyenne, Wyoming",United Air Lines,Boeing B-247-D,4,0,4,4,0,4,0,1935,10,4367
"Off Nhambupe, Brazil",Air France,Latécoère 28-1,4,0,4,4,0,4,0,1935,11,4366
"Near Fort Worth, Texas",Braniff Airlines,Lockheed Vega,1,0,1,1,0,1,0,1935,11,4365
"Brindisi, Italy",Imperial Airways,Short S-17 Kent,13,10,3,12,9,3,0,1935,11,4364
"Istres, France",Air France,Latecoere 28,3,0,3,3,0,3,0,1935,11,4363
"Tours, France",Air Bleu,Caudron C-630 Simoun,2,0,2,1,0,1,0,1935,12,4362
"Croydon, England",Sabena,Savoia-Marchetti SM73,11,7,4,11,7,4,0,1935,12,4361
"Wroctaw, Poland",Deutsche Lufthansa,Heinkel He-70,3,2,1,3,2,1,0,1935,12,4360
"Off Alexandria, Egypt",Imperial Airways,Short S-8 Calcutta flying boat,13,9,4,12,9,1,0,1935,12,4359
"Tres Esquinas, Colombia",Military - Fuerza Aerea Colombiana,Junkers JU-52,16,13,3,13,10,3,0,1936,1,4358
"Goodwin, Arkansas",American Airlines,Douglas DC-2-120,17,14,3,17,14,3,0,1936,1,4357
"Near Cordillera, Boliva",Lloyd Aereo Boliviano,Junkers JU-52,13,10,3,13,10,3,0,1936,1,4356
"Off Ajaccio, Corsica, France",Air France,CAMS 53,6,3,3,6,3,3,0,1936,1,4355
"Denton, Texas",American Airlines,Vultee V-1,6,5,1,1,0,1,0,1936,1,4354
Atlantic Ocean,Air France,Latecoere 301 (flying boat),6,1,5,6,1,5,0,1936,2,4353
South Atlantic Ocean,Deutsche Lufthansa,Dormier Do-J-Iif Bos Wal flying boat,4,0,4,4,0,4,0,1936,2,4352
"Near Tengya, China",China National Aviation Corporation,Ford 5-AT-D Tri-Motor,6,3,3,0,0,0,0,1936,3,4351
"Ovalle, Chile",Lan Chile,Fairchild FC-2,5,4,1,5,4,1,0,1936,3,4350
"Amemeca, Mexico",Mexicana,Ford 5-AT-B Tri Motor,14,10,4,14,10,4,0,1936,3,4349
"Pavillon, New York",American Airlines,Stinson Model A,2,0,2,2,0,2,0,1936,4,4348
"Uniontown, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,14,11,3,12,10,2,0,1936,4,4347
"Port of Spain, Trinidad",Pan American Airways,Sikorsky S-42A  Flying Boat,25,18,7,3,2,1,0,1936,4,4346
"Near Turin, Italy",Avio Linee Italiane,OFM F-VIIb/3m,7,5,2,7,5,2,0,1936,4,4345
"Orvin, Switzerland",Deutsche Lufthansa,Junkers JU-52,5,0,5,3,0,3,0,1936,4,4344
"Senlis, France",Sabena,Fokker F-VII,2,0,2,2,0,2,0,1936,4,4343
"Basel, Switzerland",Swissair,General Aviation GA-43,2,0,2,2,0,2,0,1936,4,4342
"Mount Waverley, Australia",Holymans Airways,De Havilland DH-60 Moth,2,0,2,2,0,2,0,1936,5,4341
"Malmo, Sweden",A B Aerotransport,Fokker F-XXII,15,11,4,1,1,0,0,1936,6,4340
"Hannover, Germany",Deutsche Lufthansa,Junkers JU-160,6,4,2,1,1,0,0,1936,6,4339
"Mt. Lihesten, Norway",Den Norske Luftfartskole,Junkers JU-52/3m,7,3,4,7,3,4,0,1936,6,4338
"Zagreb, Croatia",Aeroput,Spartan Cruiser,7,5,2,7,5,2,0,1936,7,4337
"Kulyab, Tajikistan",Aeroflot,Tupolev ANT-9,6,4,2,6,4,2,0,1936,7,4336
"Off Channel Islands, Jersey",Guernsey Airways,Saro A-19 Cloud,10,8,2,10,8,2,0,1936,7,4335
"Mazamet, France",Air France,Wibault 280,3,0,3,3,0,3,0,1936,8,4334
"Ciudad Serdan,Mexico",Mexicana,Lockheed 9 Orion,1,0,1,1,0,1,0,1936,8,4333
"St. Louis, Missouri",Chicago Southern Airlines,Lockheed 10B Electra,8,6,2,8,6,2,0,1936,8,4332
"Choco, Colombia",SCADTA,Junkers F-13,3,1,2,2,1,1,0,1936,8,4331
"Altenkirchen, Germany",British Airways,De Havilland DH-86,2,0,2,2,0,2,0,1936,8,4330
"Mirabella, Greece",Imperial Airways,Short S-17 Kent,11,8,3,2,2,0,0,1936,8,4329
"Near Pittsburgh, Pennsylvania",Pittsburgh Skyways Inc.,Stinson SM 6000B,11,10,1,10,9,1,0,1936,9,4328
"Benghazi, Libya",Ala Littoria SA,CRDA CANT Z-506,10,7,3,9,7,2,0,1936,9,4327
English Channel,Imperial Airways,Boulton and Paul P-71,2,0,2,2,0,2,0,1936,9,4326
"Walsenberg, Colorado",Varney Air Lines,Lockheed  5 Vega,3,1,2,3,1,2,0,1936,9,4325
"Napierville, Illinois",Blue Bird Air Service,Lockheed Vega 5C,4,3,1,4,3,1,0,1936,9,4324
"Francisco Rueda,  Tabasco, Mexico",Mexicana,Lockheed Orion,1,0,1,1,0,1,0,1936,10,4323
"Selby, North Yorkshire, United Kingdom",North Sea Aerial and General Transport,Blackburn B-2,1,0,1,1,0,1,0,1936,10,4322
"Near Tabarz, Germany",Deutsche Lufthansa,Junkers JU-52,15,12,3,11,8,3,0,1936,11,4321
"Nurnberg, Germany",Deutsche Lufthansa,Junkers JU-52/3m,16,13,3,4,3,1,0,1936,11,4320
"London, England",British Airways,Fokker F-XII,4,0,4,2,0,2,0,1936,11,4319
"Near Grenoble, France",Deutsche Lufthansa,Junkers JU-52/3m,6,3,3,6,3,3,0,1936,12,4318
"Near Moscow, Russia",Deruluft,Antonov AN-9,14,11,3,9,7,2,0,1936,12,4317
"Off Dakar, French West Africa",Air France,Latécoère 300 (float plane.,5,1,4,5,1,4,0,1936,12,4316
"Croydon, England",KLM Royal Dutch Airlines,Douglas DC-2-115E,17,13,4,15,12,3,0,1936,12,4315
"Near Salt Lake City, Utah",Western Air Express,Boeing 247D,7,4,3,7,4,3,0,1936,12,4314
"Kellogg, Idaho",Northwest Orient Airlines,Lockheed 10 Electra,2,0,2,2,0,2,0,1936,12,4313
"Near Milford, Pennsylvania",Eastern Air Lines,Douglas DC-2-112,11,8,3,0,0,0,0,1936,12,4312
"Near Dallas, Texas",Braniff Airways,Lockheed 10 Electra,6,4,2,6,4,2,0,1936,12,4311
"Newhall, California",United Air Lines,Boeing 247D,12,10,2,12,10,2,0,1936,12,4310
"Near Playa V icente, Veracruz, Mexico",Mexicana,Lockheed 10E Electra,9,6,3,9,6,3,0,1937,1,4309
"Near Newhall, California",Western Air Express,Boeing 247D,13,11,2,5,4,1,0,1937,1,4308
"Oran, Algeria",Sabena,Sabca S-73,12,8,4,12,8,4,0,1937,1,4307
"Off San Francisco, California",United Air Lines,Douglas DC-3A,11,9,2,11,9,2,0,1937,2,4306
"McPherson Ranges, Queensland, Australia",Airlines of Australia,Stinson Model A,7,5,2,5,3,2,0,1937,2,4305
"Bathurst, Gambia",Deutsche Lufthansa,Heinkel He-111V2,4,0,4,4,0,4,0,1937,3,4304
"Near Ouroux, France",Imperial Airways,Short  S-23 (flying boat),6,1,5,5,1,4,0,1937,3,4303
"Clifton, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,13,10,3,13,10,3,0,1937,3,4302
"Wetnum, Germany",Deutsche Lufthansa,Junkers JU-52/3m,6,4,2,0,0,0,0,1937,3,4301
"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,Zeppelin LZ-129,97,36,61,35,13,22,1,1937,5,4300
"Stuttgart, Germany",Deutsche Lufthansa,Heinkel He-70,4,2,2,4,2,2,0,1937,5,4299
Desertores Island Región de Los Lagos,Fuerzs Aerea De Chile,Sirkorsky S-43 (flying boat),9,5,4,9,5,4,0,1937,6,4298
"Off Lae, New Guinea",Private - Purdue Reasearch Foundation,Lockheed 10E Electra,2,0,2,2,0,2,0,1937,7,4297
"Hal, Belgium",KLM Royal Dutch Airlines,Douglas DC-2-115L,15,10,5,15,10,5,0,1937,7,4296
"Wadi Halfa, Sudan",Ala Littoria,Savoia-Marchetti SM73,9,5,4,9,5,4,0,1937,8,4295
"Off Cristobal, Panama",Pan American Grace Airways,Sikorsky S-43,14,11,3,14,11,3,0,1937,8,4294
"Bistrita, Romania",Aeroflot,Douglas DC-2,5,2,3,5,2,3,0,1937,8,4293
"Chilang Point, Bias Bay, China",China National Aviation Corporation,Sikorsky S-43,11,8,3,3,0,3,0,1937,8,4292
"Daytona Beach, Florida",Eastern Air Lines,Douglas DC-2,9,7,2,4,2,2,0,1937,8,4291
"San Luis, Argentina",Pan American Grace Airways,Douglas DC-2,3,0,3,3,0,3,0,1937,8,4290
"Wau, Papua New Guinea",Guinea Airways,Stinson SR-7 Reliant,1,0,1,1,0,1,1,1937,8,4289
"Phaleron Bay, Greece",Imperial Airways,Short Empire flying boat,14,9,5,2,2,0,0,1937,10,4288
"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,Douglas DC-3,11,7,4,4,1,3,0,1937,10,4287
"Haydens Peak, Wyoming",United Air Lines,Douglas DC-3,19,16,3,19,16,3,0,1937,10,4286
Off Western Africa,Air France,Dewoitine D-333,7,2,5,7,2,5,0,1937,10,4285
"Warsaw, Poland",Lot Polish Airlines,Lockheed 10 Electra,11,9,2,4,2,2,0,1937,11,4284
"Mannheim, Germany",Deutsche Lufthansa,Heinkel He-111,12,9,3,10,7,3,0,1937,11,4283
"Ostende, Belgium",Sabena,Junkers JU-52/3m,11,8,3,11,8,3,0,1937,11,4282
"Croydon, United Kingdom",Deutsche Lufthansa,Junkers JU-52,3,0,3,3,0,3,0,1937,11,4281
"Munich, Germany",Ala Littoria,Junkers JU-52,17,14,3,4,4,0,0,1937,12,4280
"Brindisi Harbor, Italy",Imperial Airways,Short Empire Flying Boat,19,13,6,2,1,1,0,1937,12,4279
"Brindisi, Italy",Imperial Airways,Short S-23 (flying boat),8,4,4,2,1,1,0,1937,12,4278
"Saint Sauveur, France",Air France,Potez 621,7,6,1,2,1,1,0,1937,12,4277
"Kasperske Hory, Czechoslovakia",Air France,Wibault 283-T12,3,1,2,3,1,2,0,1937,12,4276
"Frankfurt, Germany",Lufthansa,Junkers JU-38,6,3,3,6,3,3,0,1938,1,4275
"Bozeman, Montana",Northwest Orient Airlines,Lockheed 14H Super Electra,10,8,2,10,8,2,0,1938,1,4274
"Pago Pago, U.S. Samoa",Pan American World Airways,Sikorsky S-42 (flying boat),7,0,7,7,0,7,0,1938,1,4273
"North Pine, Ontario, Canada",General Airways,Stinson Reliant SR-9,1,0,1,1,0,1,0,1938,1,4272
"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,Consolidated PBY-2 / Consolidated PBY-2,14,0,14,11,0,11,0,1938,2,4271
"Kandalaksha, Russia",TsAGI,V6 (airship),19,0,19,13,0,13,0,1938,2,4270
"Marseille, France",Air France,Lioré-et-Olivier H-242,12,7,5,8,5,3,0,1938,2,4269
Mediterranean Sea,Ala Littoria SA,Cant Z-506,14,10,4,14,10,4,0,1938,2,4268
"Near Wawona, Cailifornia",Trans Continental and Western Air,Douglas DC-2-112,9,6,3,9,6,3,0,1938,3,4267
"Datia, India",Air France,Potez 621,7,3,4,7,3,4,0,1938,3,4266
"Somerton, Australia",Australian National Airways,De Havilland DH-60,1,0,1,1,0,1,0,1938,3,4265
"Corsavy, France",Air France,Dewoitine D-338,8,5,3,8,5,3,0,1938,3,4264
"Near Formia, Italy",Ala Littoria,Junkers JU-52,19,14,5,19,14,5,0,1938,4,4263
"Balbuena, Mexico",Lineas Aéreas Mineras,Lockheed Vega 5B,6,5,1,1,5,1,0,1938,5,4262
"Near Saugus, California",Northwest Orient Airlines,Lockheed 14-H2 Super Electra,9,7,2,9,7,2,0,1938,5,4261
"Sao Paulo, Brazil",Cruzeiro do Sul,Junkers JU-52/3m,17,14,3,6,6,0,0,1938,5,4260
"Cleveland, Ohio",United Air Lines,Douglas DST-A-207A,10,7,3,10,7,3,0,1938,5,4259
"Alberno Canal, BC, Canada",Ginger Coote Airways,Fairchild 51,1,0,1,1,0,1,0,1938,5,4258
"Langeoog, Germany",Deutsche Lufthansa,Heinkel 116,3,0,3,3,0,3,0,1938,5,4257
"Near Singida, Tanzania",Wilson Airways,De Havilland DH-85,3,1,2,3,1,2,0,1938,6,4256
"Billings, Montana",Northwest Orient Airlines,Lockheed 14 Super Electra,10,8,2,1,1,0,0,1938,7,4255
"Off Sardinia, Italy",Ala Littoria,Savoia Marchetti S-66,20,16,4,20,16,4,0,1938,7,4254
"Stulpica, Romania",LOT Polish Airlines,Lockheed 14H Super Electra,14,12,2,14,12,2,0,1938,7,4253
"Kisumu, Kenya",Imperial Airways,Armstrong-Withworth Atlanta,4,0,4,4,0,4,0,1938,7,4252
Pacific Ocean between Manila and Guam,Pan American World Airways,Martin M-130 (flying boat),15,6,9,15,6,9,0,1938,7,4251
"Debrecen, Hungary",Magyar Legiforagalmi,Ford Tri-motor F-VIII,12,10,2,12,10,2,0,1938,8,4250
"Shishijima, Japan",Dai Nippon,Douglas DF-151,6,3,3,6,3,3,0,1938,8,4249
"Near San Andres Tuxtla, VeraCruz, Mexico",Mexicana,Lockheed 10E Electra,11,8,3,11,8,3,0,1938,8,4248
"Kiel, Germany",CSA Czech Airlines,Savoia-Marchetti SM73,17,14,3,16,13,3,0,1938,8,4247
"Guanabara, Brazil",Syndicato Condor,Junkers JU-52/3m,9,5,4,9,5,4,0,1938,8,4246
"Bucharest, Romania",LOT Polish Airlines,Lockheed 14 Super Electra,7,4,3,0,0,0,0,1938,8,4245
"Montnago, Italy",Macchi,Macchi C-94,15,13,2,15,13,2,0,1938,8,4244
"Wangmoon, China",China National Aviation Corporation,Douglas DC-2,17,13,4,14,12,2,0,1938,8,4243
"Near Tucumcari, New Mexico",Transcontinental &Western Air,Ford Tri-motor,11,8,3,0,0,0,0,1938,8,4242
"Innisfail, Australia",North Queensland Airways,De Havilland DH-84,9,8,1,5,4,1,0,1938,8,4241
"Off Bathurst, Gambia",Deutsche Lufthansa,Dornier DO.18 (float plane),4,0,4,4,0,4,0,1938,10,4240
"Grisons, Switzerland",Deutsche Lufthansa,Junkers JU-52/3m,13,10,3,13,10,3,0,1938,10,4239
"Soest, Germany",Sabena,Savbia-Marchetti  S-73P,20,16,4,20,16,4,0,1938,10,4238
"Mt. Dandenong, Australia",Australian National Airways,Douglas DC-2-112,18,14,4,18,14,4,0,1938,10,4237
"Channel Islands, Jersey",Jersey Airways,de Havilland DH-86,14,13,1,14,13,1,1,1938,11,4236
"Schiphol, Amsterdam",KLM Royal Dutch Airlines,Douglas DC-3,19,14,5,6,2,4,0,1938,11,4235
"Regina, Saskatchewan, Canada",Trans Canada Air Lines,Lockheed 14 Electra,2,0,2,2,0,2,0,1938,11,4234
"Bathurst, Gambia",Deutsche Lufthansa,Junkers JU90V2,15,10,5,12,9,3,0,1938,11,4233
"Bagdad, Iraq",Imperial Airways,Short Empire Flying Boat,6,0,6,4,0,4,0,1938,11,4232
"Off Point Reyes, California",United Air Lines,Douglas DC 3-A-SB-3-G-14,7,4,3,5,3,2,0,1938,11,4231
"Mexico City, Mexico",Mexicana,Lockheed 10E Electra,8,5,3,8,5,3,0,1938,12,4230
"Off Kuba Island, Okinawa",Japan Aviation Corporation,Nakajima A-T2,15,12,3,10,7,3,0,1938,12,4229
"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Lockheed 14-WF62 Super Electra,4,0,4,4,0,4,0,1938,12,4228
"Paris, France",Swissair,Douglas DC-2-115B,17,12,5,5,2,3,0,1939,1,4227
"Rio de Janeiro, Brazil",Syndicato Condor,Junkers JU-52/3m,10,7,3,10,7,3,0,1939,1,4226
"Miles City, Montana",Northwest Orient Airlines,Lockheed 14-H Super Electra,4,2,2,4,2,2,0,1939,1,4225
"Katherine, Australia",Guinea Airways,Lockheed 14 Electra,4,1,3,4,1,3,0,1939,1,4224
Atlantic Ocean between N.Y. and Bermuda,Imperial Airways,Short S-23 (flying boat),13,8,5,3,2,1,0,1939,1,4223
"Juneau, Alaska",Marine Airways,Fairchild 71(amphibious),6,5,1,6,5,1,0,1939,2,4222
"Near Roubien, France",Deutsche Lufthansa,Junkers JU-52/3m,10,6,4,10,6,4,0,1939,2,4221
"Haren, Belgium",Sabena,Junkers JU-52,3,0,3,3,0,3,0,1939,3,4220
"Manzanares, Colombia",Deutsche Lufthansa,Junkers JU-86,8,6,2,8,6,2,0,1939,3,4219
"Near Adler, Washington",Boeing Aircraft Company,Boeing 307 Stratoliner,10,8,2,10,8,2,0,1939,3,4218
"Oklahoma City, Oklahoma",Braniff Airlines,Douglas DC-2-112,12,9,3,8,7,1,0,1939,3,4217
"Lumbo, Mozambique",Imperial Airways,Short S-23 Empire Flying Boat,4,0,4,2,0,2,0,1939,5,4216
"Near Marrakech, Morocco",Air France,Dewoitine D-338,9,6,3,9,6,3,0,1939,5,4215
"Guayaquil, Ecuador",Military - Ecuadorian Air Force,Curtiss-Wright C-14 Osprey,1,0,1,1,0,1,22,1939,5,4214
"Schiphol, Amsterdam",KLM Royal Duch Airlines,Douglas DC-2,4,0,4,0,0,0,1,1939,6,4213
"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,Koolhoven FK.43,3,1,2,3,1,2,0,1939,6,4212
